iter	MultiClass
0	1.09261105
1	1.086922763
2	1.08166923
3	1.077467719
4	1.073234965
5	1.070329996
6	1.068302555
7	1.065849707
8	1.064297237
9	1.061096962
10	1.057954786
11	1.055146057
12	1.053087117
13	1.050824347
14	1.04906151
15	1.045958293
16	1.044669484
17	1.043170352
18	1.041303933
19	1.039929261
20	1.038488461
21	1.036479092
22	1.03499362
23	1.033667946
24	1.03200506
25	1.030068487
26	1.029016613
27	1.028441875
28	1.027310007
29	1.025859652
30	1.024938855
31	1.02389235
32	1.023104647
33	1.022157897
34	1.021229812
35	1.020111471
36	1.019198837
37	1.018339887
38	1.017217919
39	1.016492431
40	1.015627845
41	1.014833873
42	1.013715337
43	1.012932153
44	1.012058806
45	1.011278285
46	1.010142958
47	1.00961713
48	1.0085575
49	1.007405075
50	1.007008731
51	1.005966114
52	1.005071137
53	1.003936863
54	1.00321387
55	1.002482195
56	1.001759174
57	1.001073193
58	1.000335422
59	0.9997062305
60	0.9987294168
61	0.9983807108
62	0.9976918218
63	0.9970749124
64	0.9963017919
65	0.9954873019
66	0.9943119779
67	0.9937927396
68	0.9931316584
69	0.9924795129
70	0.9918317697
71	0.9910961433
72	0.990455513
73	0.9895875728
74	0.9889812912
75	0.9881168803
76	0.9876893291
77	0.987212942
78	0.9864227323
79	0.9850488793
80	0.9841562442
81	0.9834615847
82	0.9823528465
83	0.9813531097
84	0.9809143915
85	0.979520607
86	0.9789681662
87	0.9778019302
88	0.9773377977
89	0.9767542478
90	0.9760440067
91	0.9755839279
92	0.9750959789
93	0.9743836055
94	0.9738563101
95	0.973362446
96	0.972447829
97	0.97185622
98	0.9711791724
99	0.9702013143
100	0.9693533635
101	0.9686386515
102	0.96797575
103	0.9673983284
104	0.9664535104
105	0.9659507498
106	0.9654356842
107	0.9648803564
108	0.9640632714
109	0.9635460725
110	0.9628513008
111	0.9622371789
112	0.961209981
113	0.960653045
114	0.960205488
115	0.9598160607
116	0.9594083327
117	0.9585491898
118	0.9575101011
119	0.9564720867
120	0.9557493517
121	0.9549634816
122	0.9539944523
123	0.9530447842
124	0.9521534466
125	0.951616295
126	0.951137107
127	0.9504072773
128	0.9495492058
129	0.9492393621
130	0.9483519592
131	0.947968926
132	0.9473016784
133	0.9463850597
134	0.9456548148
135	0.9453589256
136	0.9446874261
137	0.9441238521
138	0.9435121348
139	0.9426224537
140	0.9416688529
141	0.9408303456
142	0.9401478384
143	0.9388067761
144	0.9381283581
145	0.937582834
146	0.9368844807
147	0.9364094259
148	0.9357892857
149	0.9350937887
150	0.9342134696
151	0.9335297966
152	0.9329508945
153	0.93228793
154	0.9312313974
155	0.9305102484
156	0.9298365214
157	0.9293501887
158	0.9289814166
159	0.9284453529
160	0.9278718197
161	0.9271058897
162	0.9264212398
163	0.9259388242
164	0.9253672111
165	0.9247325486
166	0.9239528973
167	0.9232181132
168	0.9223847457
169	0.921942912
170	0.9215161311
171	0.9212197004
172	0.9202388033
173	0.9193542163
174	0.9187983834
175	0.9180872807
176	0.9174084963
177	0.9167902674
178	0.9161149588
179	0.9155897536
180	0.9145315704
181	0.9136740135
182	0.9130290567
183	0.9121283544
184	0.911704595
185	0.9109121039
186	0.9102205265
187	0.9096640597
188	0.9085238869
189	0.9081060868
190	0.9072716241
191	0.9068327546
192	0.9061569883
193	0.9054679618
194	0.9048103611
195	0.9039793773
196	0.9032056396
197	0.9023634362
198	0.9020774032
199	0.9014080811
200	0.9010922767
201	0.9001830451
202	0.8996985463
203	0.8993485726
204	0.8987975584
205	0.8983175549
206	0.897909405
207	0.8974788097
208	0.8968107061
209	0.8965158962
210	0.8959678826
211	0.8956861383
212	0.8951560201
213	0.8947966905
214	0.8941764421
215	0.8937532016
216	0.8928060433
217	0.8916404553
218	0.8909769541
219	0.8903119124
220	0.8899422495
221	0.8891732729
222	0.8885919001
223	0.887972442
224	0.8877799995
225	0.8870944965
226	0.8865186048
227	0.8856643974
228	0.8848882723
229	0.8838886032
230	0.8830157735
231	0.8822740335
232	0.8815745766
233	0.8810917028
234	0.8807379557
235	0.8801434213
236	0.879519118
237	0.8791536833
238	0.8788377727
239	0.8783568121
240	0.8778377499
241	0.877507441
242	0.8768394927
243	0.8762057631
244	0.8756755169
245	0.8751443045
246	0.8746424165
247	0.8741417312
248	0.8732560723
249	0.8724151373
250	0.8718348432
251	0.8711936396
252	0.8705025921
253	0.8699039072
254	0.8692008344
255	0.8685847249
256	0.8679903556
257	0.8675311897
258	0.8669844231
259	0.8662542908
260	0.8656609875
261	0.8648190743
262	0.8642272629
263	0.8634688617
264	0.862683471
265	0.8622690769
266	0.8616386111
267	0.8611749737
268	0.860613063
269	0.8598703904
270	0.8593049977
271	0.8588550398
272	0.8580298327
273	0.8572573519
274	0.8565432561
275	0.85614177
276	0.8557734389
277	0.8551113058
278	0.8545887053
279	0.8541889405
280	0.8534082007
281	0.8525726497
282	0.8520342218
283	0.8514688784
284	0.8510199236
285	0.8504443379
286	0.8500245349
287	0.8493332285
288	0.8488332466
289	0.8483186674
290	0.8478721006
291	0.8473685603
292	0.8471248163
293	0.8467899629
294	0.8460334636
295	0.845607429
296	0.8449805713
297	0.8445874034
298	0.843882215
299	0.8432075949
