iter	Passed	Remaining
0	72	21670
1	76	11470
2	80	8003
3	84	6261
4	88	5201
5	91	4502
6	95	4003
7	99	3621
8	103	3335
9	106	3096
10	110	2912
11	114	2740
12	118	2605
13	121	2485
14	126	2401
15	130	2309
16	134	2245
17	141	2220
18	146	2172
19	151	2118
20	154	2055
21	159	2012
22	162	1961
23	167	1923
24	170	1879
25	174	1840
26	178	1800
27	183	1778
28	186	1742
29	190	1715
30	194	1684
31	198	1659
32	201	1633
33	205	1610
34	209	1588
35	214	1569
36	217	1547
37	222	1537
38	226	1515
39	230	1498
40	234	1480
41	238	1462
42	241	1445
43	246	1436
44	251	1423
45	255	1410
46	259	1394
47	263	1382
48	267	1369
49	270	1354
50	274	1340
51	278	1326
52	282	1314
53	285	1299
54	289	1290
55	293	1277
56	298	1270
57	301	1259
58	308	1261
59	316	1266
60	322	1265
61	326	1253
62	331	1246
63	334	1235
64	339	1228
65	343	1218
66	348	1210
67	351	1200
68	355	1191
69	359	1180
70	365	1177
71	368	1167
72	372	1158
73	376	1148
74	380	1142
75	384	1133
76	388	1124
77	391	1115
78	395	1107
79	399	1099
80	403	1091
81	407	1082
82	411	1075
83	415	1067
84	419	1060
85	422	1051
86	426	1044
87	430	1036
88	433	1027
89	436	1019
90	440	1012
91	444	1004
92	447	997
93	451	990
94	455	983
95	459	976
96	463	969
97	466	961
98	470	955
99	474	948
100	478	941
101	481	934
102	485	928
103	489	922
104	493	916
105	497	909
106	501	904
107	505	897
108	509	892
109	512	885
110	517	880
111	520	874
112	524	868
113	528	862
114	532	856
115	535	849
116	539	843
117	543	837
118	548	833
119	551	827
120	555	821
121	559	816
122	564	812
123	568	806
124	572	801
125	576	796
126	580	791
127	584	785
128	590	782
129	593	776
130	598	771
131	602	766
132	606	761
133	611	757
134	616	753
135	619	747
136	623	742
137	627	736
138	632	732
139	636	727
140	641	723
141	645	717
142	649	712
143	654	709
144	658	703
145	662	698
146	666	694
147	671	689
148	675	684
149	680	680
150	683	674
151	688	670
152	693	666
153	698	662
154	702	657
155	706	652
156	710	647
157	714	641
158	718	636
159	722	632
160	725	626
161	729	621
162	733	616
163	737	611
164	740	606
165	745	601
166	748	596
167	753	591
168	756	586
169	761	582
170	765	577
171	769	572
172	772	567
173	776	562
174	780	557
175	784	552
176	787	547
177	792	543
178	796	538
179	799	533
180	803	528
181	807	523
182	811	518
183	814	513
184	819	509
185	823	504
186	828	500
187	832	495
188	836	491
189	841	487
190	845	482
191	849	477
192	852	472
193	856	468
194	861	463
195	864	458
196	868	454
197	871	449
198	875	444
199	879	439
200	883	435
201	887	430
202	891	425
203	895	421
204	899	416
205	903	412
206	907	407
207	911	403
208	915	398
209	919	393
210	923	389
211	927	384
212	932	380
213	935	375
214	939	371
215	942	366
216	946	362
217	950	357
218	953	352
219	957	348
220	961	343
221	965	339
222	969	334
223	973	330
224	977	325
225	980	321
226	984	316
227	987	311
228	992	307
229	996	303
230	1000	298
231	1003	294
232	1008	289
233	1012	285
234	1016	281
235	1019	276
236	1023	272
237	1027	267
238	1030	263
239	1033	258
240	1038	254
241	1042	249
242	1046	245
243	1049	240
244	1053	236
245	1057	232
246	1061	227
247	1065	223
248	1068	218
249	1072	214
250	1076	210
251	1081	206
252	1086	201
253	1089	197
254	1094	193
255	1099	188
256	1102	184
257	1106	180
258	1110	175
259	1115	171
260	1120	167
261	1124	163
262	1129	158
263	1132	154
264	1136	150
265	1140	145
266	1144	141
267	1148	137
268	1153	132
269	1156	128
270	1160	124
271	1163	119
272	1168	115
273	1171	111
274	1175	106
275	1178	102
276	1183	98
277	1187	93
278	1191	89
279	1194	85
280	1199	81
281	1203	76
282	1207	72
283	1210	68
284	1214	63
285	1218	59
286	1222	55
287	1225	51
288	1229	46
289	1233	42
290	1236	38
291	1240	33
292	1244	29
293	1248	25
294	1252	21
295	1257	16
296	1260	12
297	1265	8
298	1268	4
299	1273	0
